,county_state,total_cases,total_fatalities,death_rate,total_tests,race_pop,race_pop_hispanic_or_latino_of_any_race,race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years,sq_mi,obes_percent,health_ins_noninst_pop,health_ins_noninst_pop_cov_yes,health_ins_noninst_pop_private,health_ins_noninst_pop_public,health_ins_noninst_pop_cov_no,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol,deaths_per_100_cases,cases_per_100_people,tests_per_100_people,pop_density,covid_severity,inc_hhlds_less_than_25_000,inc_hhlds_25_000_to_49_999,inc_hhlds_less_than_99_999,inc_hhlds_100_000_or_more,inc_hhlds_less_than_49_999,inc_hhlds_50_000_to_99_999,race_pop_other,race_pop_minority,sex_age_pop_0_to_44,sex_age_pop_45_to_74,sex_age_pop_75_and_over,sex_age_pop_0_to_64,sex_age_pop_65_and_over,sex_age_pop_0_to_35,sex_age_pop_35_to_59,sex_age_pop_60_to_84,percent_race_pop_hispanic_or_latino_of_any_race,percent_race_pop_white_alone,percent_race_pop_black_or_african_american_alone,percent_race_pop_american_indian_and_alaska_native_alone,percent_race_pop_asian_alone,percent_race_pop_native_hawaiian_and_other_pacific_islander_alone,percent_race_pop_some_other_race_alone,percent_race_pop_two_or_more_races,percent_sex_age_pop_male,percent_sex_age_pop_female,percent_sex_age_pop_under_5,percent_sex_age_pop_5_to_9,percent_sex_age_pop_10_to_14,percent_sex_age_pop_15_to_19,percent_sex_age_pop_20_to_24,percent_sex_age_pop_25_to_34,percent_sex_age_pop_35_to_44,percent_sex_age_pop_45_to_54,percent_sex_age_pop_55_to_59,percent_sex_age_pop_60_to_64,percent_sex_age_pop_65_to_74,percent_sex_age_pop_75_to_84,percent_sex_age_pop_85_and_over,percent_health_ins_noninst_pop_cov_yes,percent_health_ins_noninst_pop_cov_no,percent_inc_hhlds_less_than_10_000,percent_inc_hhlds_10_000_to_14_999,percent_inc_hhlds_15_000_to_24_999,percent_inc_hhlds_25_000_to_34_999,percent_inc_hhlds_35_000_to_49_999,percent_inc_hhlds_50_000_to_74_999,percent_inc_hhlds_75_000_to_99_999,percent_inc_hhlds_100_000_to_149_999,percent_inc_hhlds_150_000_to_199_999,percent_inc_hhlds_200_000_or_more,percent_inc_hhlds_less_than_25_000,percent_inc_hhlds_25_000_to_49_999,percent_inc_hhlds_less_than_99_999,percent_inc_hhlds_100_000_or_more,percent_inc_hhlds_less_than_49_999,percent_inc_hhlds_50_000_to_99_999,percent_race_pop_other,percent_race_pop_minority,percent_sex_age_pop_0_to_44,percent_sex_age_pop_45_to_74,percent_sex_age_pop_75_and_over,percent_sex_age_pop_0_to_64,percent_sex_age_pop_65_and_over,percent_sex_age_pop_0_to_35,percent_sex_age_pop_35_to_59,percent_sex_age_pop_60_to_84,County,county
10,"Christian County, Illinois",816,29,0.03553921569,14312,33231,533,31605,417,62,212,61,5,336,33231,16818,16413,1707,2041,1881,1917,1899,3887,4090,4640,2712,2122,3318,1987,1030,43.2,709.492,0.085,31546,30005,22353,12874,1541,13939,949,566,1817,1587,1722,3057,1843,1663,482,253,52415,62807,26166,48572,35476,3.553921569,2.455538503,43.06821943,46.83773742,2,3332,3309,11541,2145,6641,4900,464,1626,17422,12792,3017,26896,6335,13332,11442,7427,0.01603924047,0.9510697842,0.01254852397,0.001865727784,0.006379585327,0.001835635401,0.0001504619181,0.0101110409,0.5060937077,0.4939062923,0.05136769884,0.06141855496,0.05660377358,0.0576870994,0.05714543649,0.1169690951,0.123077849,0.13962866,0.08161054437,0.06385603804,0.09984652884,0.05979356625,0.03099515513,0.9511507006,0.04884929944,0.06808235885,0.04060549537,0.1303536839,0.1138532176,0.1235382739,0.2193127197,0.132218954,0.1193055456,0.03457923811,0.01815051295,0.2390415381,0.2373914915,0.8279647034,0.1538847837,0.4764330296,0.3515316737,0.013962866,0.04893021576,0.5242695074,0.3849417712,0.09078872137,0.8093647498,0.1906352502,0.4011916584,0.3443170534,0.2234961331,Christian County,Christian
11,"Clark County, Illinois",308,17,0.05519480519,5606,15836,247,15294,46,11,76,0,0,162,15836,7824,8012,927,1042,987,1032,859,1745,1787,2160,1268,1010,1629,907,483,43,501.429,0.09,15619,14764,10704,6675,855,6774,254,394,756,683,973,1440,891,883,299,201,54158,70037,29887,49177,34259,5.519480519,1.94493559,35.40035362,31.58173939,1,1404,1656,5391,1182,3060,2331,173,542,8379,6067,1390,12817,3019,6592,5215,3546,0.01559737307,0.9657741854,0.002904773933,0.0006946198535,0.004799191715,0,0,0.01022985602,0.4940641576,0.5059358424,0.05853750947,0.0657994443,0.06232634504,0.06516797171,0.05424349583,0.1101919677,0.1128441526,0.1363980803,0.08007072493,0.063778732,0.1028668856,0.05727456428,0.03050012629,0.9452589794,0.05474102055,0.03749630942,0.05816356658,0.1116031887,0.1008266903,0.1436374373,0.2125775022,0.1315323295,0.1303513434,0.04413935636,0.02967227635,0.2072630647,0.2444641275,0.7958370239,0.1744906997,0.4517271922,0.3441098317,0.01092447588,0.0342258146,0.5291108866,0.3831144228,0.08777469058,0.8093584238,0.1906415762,0.416266734,0.3293129578,0.2239201819,Clark County,Clark
12,"Clay County, Illinois",311,13,0.04180064309,4513,13338,196,12833,61,20,38,0,0,190,13338,6586,6752,756,854,842,759,777,1442,1501,1737,1038,1000,1449,814,369,42.7,468.271,0.13,13170,12133,8350,6110,1037,5638,332,358,749,565,882,1143,664,651,217,77,48691,60790,25821,46940,30305,4.180064309,2.331683911,33.83565752,28.48350635,2,1439,1447,4693,868,2886,1807,210,505,6931,5224,1183,10706,2632,5430,4276,3263,0.0146948568,0.9621382516,0.00457339931,0.001499475184,0.002849002849,0,0,0.01424501425,0.493777178,0.506222822,0.05668016194,0.06402759034,0.06312790523,0.05690508322,0.05825461089,0.1081121607,0.1125356125,0.1302294197,0.07782276203,0.07497375918,0.1086369771,0.06102863998,0.02766531714,0.9212604404,0.07873955961,0.05888612983,0.06349769422,0.1328485278,0.1002128414,0.1564384534,0.2027314651,0.1177722597,0.1154664775,0.03848882582,0.01365732529,0.2552323519,0.2566512948,0.8323873714,0.1539553033,0.5118836467,0.3205037247,0.01574448943,0.03786174839,0.5196431249,0.391662918,0.08869395712,0.8026690658,0.1973309342,0.4071075124,0.3205877943,0.2446393762,Clay County,Clay
13,"Clinton County, Illinois",1755,26,0.01481481481,17486,37628,1166,34442,1308,104,214,0,0,394,37628,19551,18077,2076,2031,2469,2171,2200,5119,4727,5414,2818,2493,3303,1979,828,40.2,474.004,0.057,35546,33839,27785,11262,1707,14190,651,586,1140,1204,1750,2958,1913,2538,954,496,65010,80242,31240,53221,39903,1.481481481,4.66407994,46.4707133,79.38329634,3,2377,2954,10202,3492,5331,4871,498,3186,20793,14028,2807,31518,6110,16066,12959,7775,0.03098756245,0.9153290103,0.03476134793,0.002763899224,0.005687254172,0,0,0.01047092591,0.5195864782,0.4804135218,0.05517168066,0.05397576273,0.06561603062,0.0576963963,0.05846709897,0.1360423089,0.1256245349,0.1438822154,0.07489103859,0.06625385351,0.08778037632,0.05259381312,0.02200488998,0.951977719,0.04802228099,0.04587737844,0.04129668781,0.08033826638,0.08484848485,0.1233262861,0.2084566596,0.1348132488,0.178858351,0.06723044397,0.03495419309,0.1675123326,0.208174771,0.718957012,0.2460887949,0.3756871036,0.3432699084,0.01323482513,0.08467098969,0.5525938131,0.3728074838,0.07459870309,0.8376209206,0.1623790794,0.4269692782,0.3443977889,0.2066280429,Clinton County,Clinton
14,"Coles County, Illinois",1912,39,0.02039748954,27794,51736,1288,47080,1897,85,627,17,7,735,51736,24999,26737,2430,2577,2826,4187,6713,6981,5438,5685,3425,3139,4560,2530,1245,35.2,508.288,0.118,51044,47844,33880,20434,3200,21139,2123,1702,2492,2183,3015,3881,2427,2109,691,516,44071,63161,26790,43050,33309,2.039748954,3.695685789,53.72274625,101.7848149,3,6317,5198,17823,2800,11515,6308,844,4656,31152,16809,3775,43401,8335,25714,14548,10229,0.02489562394,0.9100046389,0.03666692439,0.001642956549,0.01211922066,0.0003285913097,0.000135302304,0.01420674192,0.4832031854,0.5167968146,0.04696922839,0.04981057677,0.05462347302,0.0809301067,0.1297549095,0.1349350549,0.1051105613,0.1098847998,0.06620148446,0.0606734189,0.08813978661,0.04890211845,0.02406448121,0.9373089883,0.06269101168,0.1004304839,0.08051468849,0.1178863712,0.1032688396,0.1426273712,0.1835943044,0.1148114859,0.09976820096,0.03268839586,0.02440985856,0.2988315436,0.2458962108,0.8431335446,0.1324565968,0.5447277544,0.2984057902,0.01631359208,0.08999536106,0.6021339106,0.3248994897,0.07296659966,0.8388936137,0.1611063863,0.4970233493,0.2811968455,0.197715324,Coles County,Coles
15,"Crawford County, Illinois",647,6,0.009273570325,5877,19088,668,16821,1083,14,137,13,3,349,19088,9910,9178,1026,968,1129,1057,1107,2562,2397,2586,1355,1389,1897,1122,493,42,443.614,0.09,17011,15939,12095,6868,1072,7653,441,445,958,807,1266,1188,965,996,308,279,49233,68640,26713,51987,35705,0.9273570325,3.389564124,30.78897737,43.02839856,3,1844,2073,6070,1304,3917,2153,379,2267,10246,7227,1615,15576,3512,7849,6338,4408,0.03499580889,0.8812342833,0.0567372171,0.0007334450964,0.007177284158,0.0006810561609,0.0001571668064,0.01828373847,0.5191743504,0.4808256496,0.05375104778,0.05071248952,0.05914710813,0.05537510478,0.05799455155,0.1342204526,0.1255762783,0.1354777871,0.07098700754,0.07276823135,0.09938181056,0.05878038558,0.02582774518,0.9369819529,0.06301804715,0.057624461,0.05814713184,0.1251796681,0.1054488436,0.1654253234,0.1552332419,0.1260943421,0.1301450412,0.0402456553,0.03645629165,0.2409512609,0.270874167,0.7931530119,0.1703906965,0.5118254279,0.281327584,0.01985540654,0.1187657167,0.5367770327,0.3786148365,0.08460813076,0.8160100587,0.1839899413,0.4112007544,0.3320410729,0.2309304275,Crawford County,Crawford
16,"Cumberland County, Illinois",288,6,0.02083333333,4627,10865,114,10508,9,22,30,14,6,162,10865,5455,5410,667,627,783,624,542,1260,1276,1420,891,733,1139,624,279,42.6,345.92,0.087,10738,10228,7368,4430,510,4322,208,279,456,507,576,1012,507,594,71,112,53376,62334,25622,42421,33222,2.083333333,2.6507133,42.58628624,31.4089963,2,943,1083,3545,665,2026,1519,204,357,5779,4183,903,8823,2042,4503,3587,2496,0.01049240681,0.9671421997,0.0008283479061,0.002024850437,0.002761159687,0.001288541187,0.0005522319374,0.01491026231,0.5020708698,0.4979291302,0.06138978371,0.05770823746,0.07206626783,0.05743212149,0.04988495168,0.1159687069,0.1174413254,0.1306948919,0.08200644271,0.06746433502,0.1048320295,0.05743212149,0.02567878509,0.952505122,0.047494878,0.04812586765,0.06455344748,0.1055067099,0.1173068024,0.1332716335,0.2341508561,0.1173068024,0.137436372,0.01642757982,0.02591392874,0.218186025,0.2505784359,0.8202221194,0.1538639519,0.4687644609,0.3514576585,0.01877588587,0.03285780028,0.5318913944,0.384997699,0.08311090658,0.812057064,0.187942936,0.414450069,0.3301426599,0.229728486,Cumberland County,Cumberland
17,"De Witt County, Illinois",260,6,0.02307692308,5834,16042,430,15194,76,7,4,10,3,318,16042,8015,8027,874,939,1029,978,818,1811,1945,2226,1261,1218,1650,865,428,43.1,397.552,0.167,15766,15005,11411,6027,761,6663,274,301,593,710,1082,1424,851,900,339,189,55591,69216,29402,51757,38473,2.307692308,1.620745543,36.36703653,40.35195396,1,1168,1792,5235,1239,2960,2275,338,848,8394,6355,1293,13099,2943,6449,5432,3733,0.02680463783,0.9471387608,0.004737563895,0.0004363545693,0.0002493454681,0.0006233636704,0.0001870091011,0.01982296472,0.4996259818,0.5003740182,0.05448198479,0.05853384865,0.06414412168,0.06096496696,0.05099114824,0.1128911607,0.1212442339,0.138760753,0.07860615883,0.07592569505,0.1028550056,0.05392095749,0.02667996509,0.9517315743,0.04826842573,0.04112261744,0.04517484617,0.08899894942,0.1065586072,0.1623893141,0.2137175446,0.1277202461,0.1350742909,0.05087798289,0.02836560108,0.175296413,0.2689479214,0.7856821252,0.1859522738,0.4442443344,0.3414377908,0.02106969206,0.05286123925,0.5232514649,0.3961476125,0.08060092258,0.8165440718,0.1834559282,0.402007231,0.3386111457,0.2327016581,De Witt County,Dewitt
18,"DeKalb County, Illinois",2358,42,0.01781170483,44431,104200,11422,80438,7749,38,2566,0,37,1950,104200,51580,52620,6025,5863,6855,9198,14896,14362,11652,11656,6220,5072,7132,3536,1733,31,631.344,0.068,103533,97465,77360,30740,6068,37703,2920,1613,3383,3241,4477,7328,4874,6219,2180,1468,61086,75000,28073,53167,39633,1.781170483,2.262955854,42.64011516,165.04473,2,7916,7718,27836,8399,15634,12202,2025,23762,68851,30080,5269,91799,12401,57199,29528,15740,0.1096161228,0.7719577735,0.07436660269,0.0003646833013,0.02462571977,0,0.0003550863724,0.01871401152,0.4950095969,0.5049904031,0.05782149712,0.05626679463,0.06578694818,0.08827255278,0.1429558541,0.137831094,0.1118234165,0.1118618042,0.05969289827,0.0486756238,0.0684452975,0.03393474088,0.01663147793,0.9413906677,0.05860933229,0.07744741798,0.04278174151,0.08972760788,0.08596132934,0.1187438665,0.1943611914,0.1292735326,0.1649470864,0.0578203326,0.0389358937,0.2099567674,0.2047051959,0.7382966873,0.222767419,0.4146619632,0.323634724,0.01943378119,0.2280422265,0.6607581574,0.2886756238,0.05056621881,0.8809884837,0.1190115163,0.5489347409,0.283378119,0.1510556622,DeKalb County,Dekalb
19,"Douglas County, Illinois",672,9,0.01339285714,11031,19714,1424,17823,105,66,144,18,31,103,19714,9748,9966,1325,1221,1540,1311,1182,2397,2383,2283,1410,1251,1784,1153,474,37.9,416.665,0.093,19555,16724,12419,6901,2831,7618,346,426,827,735,1124,1597,957,1055,356,195,54218,70199,27871,45143,32513,1.339285714,3.408745054,55.95515877,47.31378926,3,1599,1859,6012,1411,3458,2554,218,1891,11359,6728,1627,16303,3411,8976,6076,4188,0.07223293091,0.90407832,0.005326164147,0.003347874607,0.007304453688,0.000913056711,0.001572486558,0.005224713402,0.4944709344,0.5055290656,0.067211119,0.06193568023,0.07811707416,0.06650096378,0.05995739069,0.1215887187,0.1208785635,0.1158060262,0.07152277569,0.06345744141,0.09049406513,0.05848635487,0.02404382672,0.8552288417,0.1447711583,0.04541874508,0.05592018903,0.1085586768,0.09648201628,0.1475452875,0.2096350748,0.1256235232,0.1384877921,0.04673142557,0.02559726962,0.2098976109,0.2440273038,0.7891835127,0.1852192176,0.4539249147,0.3352585981,0.01105813128,0.09592168002,0.57618951,0.3412803084,0.0825301816,0.8269757533,0.1730242467,0.4553109465,0.3082073653,0.2124378614,Douglas County,Douglas
20,"DuPage County, Illinois",22783,606,0.02659877979,419533,931743,132004,627050,43312,504,108353,242,1345,18933,931743,457178,474565,55318,59578,61211,62132,58606,118415,120006,132848,68587,60313,79557,37630,17542,39.1,327.727,0.064,925916,871642,744352,223407,54274,341823,12909,6829,18773,20583,33404,51908,45972,68068,36813,46564,88711,117832,43982,70879,53469,2.659877979,2.445202164,45.02668654,2843.046194,2,38511,53987,190378,104881,92498,97880,21024,304693,535266,341305,55172,797014,134729,415260,321441,177500,0.14167426,0.6729860058,0.04648492127,0.0005409216919,0.116290651,0.0002597282727,0.001443531102,0.02031998094,0.4906696374,0.5093303626,0.05937044872,0.06394252492,0.06569515414,0.06668362413,0.0628993188,0.1270897662,0.1287973186,0.1425800891,0.07361150017,0.06473136906,0.08538513302,0.04038667315,0.01882708,0.9413834516,0.05861654837,0.03776515916,0.01997817584,0.0549202365,0.06021537462,0.09772309061,0.1518563701,0.1344906574,0.1991322995,0.1076960883,0.1362225479,0.1126635715,0.1579384652,0.5569490643,0.3068283878,0.2706020367,0.2863470276,0.02256416201,0.3270139942,0.5744781555,0.3663080914,0.05921375315,0.8554011138,0.1445988862,0.4456808369,0.3449889079,0.1905031752,DuPage County,Dupage
21,"Edgar County, Illinois",155,10,0.06451612903,4642,17539,201,17010,61,12,181,0,0,74,17539,8617,8922,903,931,1149,1003,908,1911,2093,2264,1381,1313,2024,1079,580,44.6,623.385,0.085,17253,16298,12155,7213,955,7590,676,376,810,683,1179,1594,1129,789,228,126,51109,62335,27701,46424,35793,6.451612903,0.8837447973,26.46673128,28.1351011,1,1862,1862,6447,1017,3724,2723,86,529,8898,6982,1659,13856,3683,6805,5738,4416,0.01146017447,0.9698386453,0.003477963396,0.0006841895205,0.0103198586,0,0,0.00421916871,0.4913050915,0.5086949085,0.05148526142,0.05308170363,0.06551114659,0.05718684075,0.05177034038,0.1089571811,0.1193340555,0.1290837562,0.07873881065,0.0748617367,0.1153999658,0.06152004105,0.03306916016,0.9446473077,0.05535269229,0.08906455863,0.04953886693,0.1067193676,0.08998682477,0.1553359684,0.2100131752,0.1487483531,0.1039525692,0.03003952569,0.01660079051,0.2453227931,0.2453227931,0.8494071146,0.1339920949,0.4906455863,0.3587615283,0.00490335823,0.0301613547,0.5073265294,0.3980842693,0.09458920121,0.790010833,0.209989167,0.3879924739,0.3271566224,0.2517817435,Edgar County,Edgar
22,"Edwards County, Illinois",108,0,0,1125,6507,90,6285,41,0,24,0,0,67,6507,3231,3276,374,404,449,391,351,650,759,845,504,447,728,395,210,43.3,222.419,0.061,6478,6116,4764,2511,362,2776,139,138,354,305,461,542,366,362,53,56,49766,63054,26908,47367,36639,0,1.659751037,17.28907331,29.25559417,1,631,766,2305,415,1397,908,67,222,3378,2524,605,5174,1333,2619,2108,1570,0.01383125864,0.9658828953,0.006300906716,0,0.003688335639,0,0,0.01029660366,0.4965421853,0.5034578147,0.0574765637,0.06208698325,0.06900261257,0.06008913478,0.05394190871,0.09989242354,0.1166436146,0.1298601506,0.07745504841,0.06869525127,0.1118795144,0.06070385738,0.03227293684,0.9441185551,0.05588144489,0.05007204611,0.04971181556,0.1275216138,0.109870317,0.1660662824,0.1952449568,0.1318443804,0.1304034582,0.01909221902,0.02017291066,0.2273054755,0.2759365994,0.8303314121,0.1494956772,0.5032420749,0.3270893372,0.01029660366,0.03411710466,0.5191332411,0.3878899647,0.09297679422,0.7951436914,0.2048563086,0.4024896266,0.3239588136,0.241278623,Edwards County,Edwards
23,"Effingham County, Illinois",1165,4,0.003433476395,14762,34174,684,32780,155,24,210,15,10,296,34174,16971,17203,2234,2071,2410,2120,2062,4486,3879,4376,2336,2444,3091,1793,872,39.1,478.755,0.115,33773,31937,24494,12257,1836,13555,642,571,1439,1460,1936,2612,1820,1915,663,497,56293,74875,30255,45911,33089,0.3433476395,3.409024405,43.1965822,71.38097774,3,2652,3396,10480,2578,6048,4432,345,1394,19262,12247,2665,28418,5756,15383,10591,7328,0.02001521625,0.9592087552,0.004535611869,0.0007022882893,0.006145022532,0.0004389301808,0.0002926201206,0.008661555569,0.4966056066,0.5033943934,0.06537133493,0.06060162697,0.07052144905,0.06203546556,0.06033826886,0.1312693861,0.1135073448,0.1280505648,0.06835606016,0.07151635746,0.09044887926,0.05246678762,0.02551647451,0.9456370473,0.05436295265,0.04736259683,0.04212467724,0.1061600885,0.1077093323,0.1428255256,0.192696422,0.1342677979,0.1412762818,0.04891184065,0.03666543711,0.1956473626,0.250534858,0.7731464404,0.1901881225,0.4461822206,0.3269642198,0.01009539416,0.04079124481,0.5636448762,0.3583718616,0.07798326213,0.8315678586,0.1684321414,0.4501375315,0.3099139697,0.2144320243,Effingham County,Effingham
24,"Fayette County, Illinois",680,24,0.03529411765,8199,21724,408,20008,1043,49,107,0,0,109,21724,11580,10144,1176,1124,1398,1249,1436,2765,2653,2919,1753,1271,2142,1323,515,41.5,716.496,0.087,20025,18407,11611,9693,1618,7616,479,532,962,1067,1231,1169,971,869,207,129,44432,59615,22260,43229,32381,3.529411765,3.130178604,37.7416682,30.31977848,3,1973,2298,6411,1076,4271,2140,158,1716,11801,8085,1838,17744,3980,9148,7325,4736,0.01878107163,0.9210090223,0.04801141595,0.002255569877,0.004925428098,0,0,0.005017492175,0.5330510035,0.4669489965,0.05413367704,0.05174001105,0.06435278954,0.05749401584,0.066102007,0.1272785859,0.1221229976,0.1343675198,0.08069416314,0.05850672068,0.09860062604,0.06090038667,0.02370649972,0.9192009988,0.08079900125,0.06289390756,0.06985294118,0.1263130252,0.1400997899,0.1616334034,0.1534926471,0.1274947479,0.1141018908,0.02717962185,0.01693802521,0.2590598739,0.3017331933,0.8417804622,0.1412815126,0.5607930672,0.280987395,0.007273062051,0.07899097772,0.543224084,0.3721690296,0.08460688639,0.8167924876,0.1832075124,0.4211010864,0.3371846805,0.2180077334,Fayette County,Fayette
25,"Ford County, Illinois",196,14,0.07142857143,6879,13398,427,12573,147,59,64,5,19,104,13398,6616,6782,735,995,707,908,715,1460,1560,1743,1047,1033,1232,727,536,43,485.597,0.048,13000,12185,8707,5496,815,5779,288,273,729,652,870,1122,732,766,197,150,51120,64974,28002,51669,39438,7.142857143,1.462904911,51.3434841,27.59078001,1,1290,1522,4666,963,2812,1854,187,825,7080,5055,1263,10903,2495,5520,4350,2992,0.03187042842,0.9384236453,0.01097178683,0.004403642335,0.004776832363,0.0003731900284,0.001418122108,0.00776235259,0.4938050455,0.5061949545,0.05485893417,0.07426481564,0.05276907001,0.06777130915,0.05336617406,0.1089714883,0.1164352888,0.1300940439,0.07814599194,0.07710105986,0.09195402299,0.05426183012,0.04000597104,0.9373076923,0.06269230769,0.0498356117,0.04724000692,0.1261463921,0.1128222876,0.150545077,0.1941512372,0.1266655131,0.1325488839,0.03408894272,0.02595604776,0.2232220107,0.2633673646,0.8074061256,0.1666378266,0.4865893753,0.3208167503,0.01395730706,0.06157635468,0.5284370802,0.3772951187,0.09426780116,0.8137781758,0.1862218242,0.4120017913,0.3246753247,0.223316913,Ford County,Ford
26,"Franklin County, Illinois",982,9,0.00916496945,16107,39127,657,37527,280,79,185,25,17,357,39127,19285,19842,2275,2589,2270,2333,2065,4521,4681,5170,2865,2602,4357,2482,917,42.3,408.92,0.126,38660,36128,22185,19750,2532,16135,1579,1183,2274,1957,2362,3006,1638,1482,406,248,41414,54762,23510,45801,33559,0.916496945,2.509775858,41.16594679,95.68375232,2,5036,4319,13999,1888,9355,4644,478,1600,20734,14994,3399,31371,7756,16053,12716,9441,0.01679147392,0.9591075217,0.007156183709,0.002019066118,0.004728192808,0.0006389449741,0.0004344825824,0.00912413423,0.492882153,0.507117847,0.05814399264,0.06616914151,0.05801620364,0.05962634498,0.05277685486,0.1155468091,0.1196360569,0.1321338206,0.07322309403,0.0665013929,0.1113553301,0.06343445702,0.02343650165,0.9345059493,0.0654940507,0.09786179114,0.07331887202,0.1409358537,0.121289123,0.1463898358,0.1863030679,0.1015184382,0.09185001549,0.0251626898,0.01537031298,0.3121165169,0.2676789588,0.8676169817,0.1170127053,0.5797954757,0.287821506,0.0122166279,0.04089247834,0.5299154037,0.3832136376,0.08687095867,0.8017737112,0.1982262888,0.4102793467,0.3249929716,0.24129118,Franklin County,Franklin
27,"Fulton County, Illinois",518,1,0.001930501931,15188,35418,1043,32549,1315,87,49,10,0,365,35418,18496,16922,1723,1909,2116,2029,2053,4203,4578,4793,2484,2591,3758,1938,1243,43,865.702,0.061,32889,30898,22996,14362,1991,14090,1042,767,1783,1450,1976,3063,1792,1500,417,300,50180,62429,25538,47362,32055,0.1930501931,1.462533175,42.88215032,40.91246179,1,3592,3426,11873,1917,7018,4855,462,2869,18611,13626,3181,28479,6939,14033,11855,8287,0.02944830312,0.9189959907,0.037128014,0.002456378113,0.001383477328,0.0002823423118,0,0.01030549438,0.5222203399,0.4777796601,0.04864758033,0.05389914733,0.05974363318,0.05728725507,0.05796487662,0.1186684737,0.1292563104,0.1353266701,0.07013383026,0.07315489299,0.1061042408,0.05471794003,0.03509514936,0.9394630424,0.06053695765,0.07395315827,0.05443577005,0.126543648,0.1029098652,0.1402413059,0.2173882186,0.1271823989,0.1064584812,0.02959545777,0.02129169624,0.2549325763,0.243151171,0.8426543648,0.136053939,0.4980837473,0.3445706175,0.01304421481,0.08100400926,0.5254672765,0.3847196341,0.08981308939,0.8040826698,0.1959173302,0.3962109662,0.3347168107,0.2339770738,Fulton County,Fulton
28,"Gallatin County, Illinois",107,2,0.01869158879,1088,5157,75,4936,12,27,22,0,5,80,5157,2472,2685,264,285,343,249,268,540,610,660,375,353,693,405,112,45.3,322.99,0.068,5157,4973,3189,2857,184,2314,260,115,334,253,353,393,295,214,62,35,42500,57026,25572,47340,34425,1.869158879,2.074849719,21.09753733,15.96643859,2,709,606,2003,276,1315,688,112,221,2559,2081,517,3947,1210,1949,1645,1451,0.01454333915,0.9571456273,0.002326934264,0.005235602094,0.004266046151,0,0.0009695559434,0.01551289509,0.4793484584,0.5206515416,0.05119255381,0.05526468877,0.06651153772,0.04828388598,0.05196819857,0.1047120419,0.1182858251,0.1279813845,0.07271669575,0.0684506496,0.1343804538,0.07853403141,0.02171805313,0.9643203413,0.03567965872,0.1123595506,0.04969749352,0.1443388073,0.1093344857,0.1525496975,0.1698357822,0.1274848747,0.09248055315,0.02679343129,0.01512532411,0.3063958513,0.2618841832,0.8656006914,0.1192739844,0.5682800346,0.2973206569,0.02171805313,0.0428543727,0.4962187318,0.4035291836,0.1002520845,0.7653674617,0.2346325383,0.3779329067,0.3189839054,0.2813651348,Gallatin County,Gallatin
29,"Greene County, Illinois",290,15,0.05172413793,4737,13218,86,12746,194,40,25,0,0,127,13218,6668,6550,660,883,720,791,765,1526,1577,1863,1090,859,1332,771,381,42.9,543.02,0.066,12932,12105,7886,6106,827,5005,369,346,578,633,788,979,588,545,102,77,46052,58630,23946,43873,33333,5.172413793,2.193977909,35.83749433,24.34164487,2,1293,1421,4281,647,2714,1567,167,472,6922,5144,1152,10734,2484,5345,4530,2962,0.006506279316,0.9642911182,0.01467695567,0.003026176426,0.001891360266,0,0,0.009608110153,0.5044636102,0.4955363898,0.04993191103,0.06680284461,0.05447117567,0.05984263883,0.05787562415,0.1154486307,0.1193070056,0.140944167,0.08246330761,0.06498713875,0.100771675,0.05832955061,0.02882433046,0.9360501083,0.06394989174,0.07372627373,0.06913086913,0.1154845155,0.1264735265,0.1574425574,0.1956043956,0.1174825175,0.1088911089,0.02037962038,0.01538461538,0.2583416583,0.2839160839,0.8553446553,0.1292707293,0.5422577423,0.3130869131,0.01263428658,0.03570888183,0.5236798305,0.3891662884,0.08715388107,0.8120744439,0.1879255561,0.4043728249,0.3427144803,0.2240883644,Greene County,Greene
